用户名称,评论时间,评论内容
简落qin---cola,11月22日 23:57,再闻已是曲中人
莫做游坦之,11月22日 23:45,我算一个怪人吧，喜欢的小说看了一遍又一遍，喜欢的电影电视剧看了一遍又一遍
小徐同学_314,11月22日 23:42,你可以听很丧的歌 但我希望你看看外面的太阳 星星 月亮 行人 树木 花香 棉花 糖 雨滴动物 看到这个世界也是亮晶晶的
小徐同学_314,11月22日 23:41,我们终将上岸 阳光万里
小奶狗-__白菜,11月22日 23:39,生活很苦，但你要甜
大鹤子_,11月22日 23:37,四年后更奔东西为了生计
大鹤子_,11月22日 23:36,我们会认识四年
要晚安了__,11月22日 23:32,所以剩下了什么.
旧车厢里藏着一颗草莓_o2l2,11月22日 23:19,已经下雪了
番茄先生-love-,11月22日 23:18,谢谢
凉夏暖笙安,11月22日 23:18,看云淡风轻
始于你_止于我,11月22日 23:15,好的坏的，都是风景，只怪我贪心
就只有一年了嘛,11月22日 10:13,我存过你的照片，你喜欢的歌我也有去听，你看过的电影我也偷偷看过，你感兴趣的东西我也尝试感兴趣，其实我远比表面更喜欢你
碳钨呀,11月22日 10:12,时间是让人猝不及防的东西
今天霉霉的新专也超好听呢,11月22日 07:09,所以，这算是骗婚吗？如果女方不知道对方是gay的情况下
龏係鬟儞,11月22日 06:49,同一年高考，一起加油喽！
等那个为我打伞的你,11月22日 06:15,有幸遇见 有缘无份
种花兔hap,11月22日 06:14,总是要向前走的，待我沉潜到底，奋力一跃，还不行就要错过了
雁子丫头2020,11月22日 04:42,如果有一天你能和我一起看云淡风轻，多好
Autism211122,11月22日 02:41,不知道怎么就突然想起了高中时代青涩的我们
橙子in丶,11月22日 02:09,明年也到我出去实习了现在专业学得非常不好不知道怎么办迷茫
梦想踏入现实来c,11月22日 01:26,转眼已经五年
掌柜的8848,11月22日 01:16,又要过年了，一年又一年，匆匆又夏天
青树_y,11月22日 01:06,Duang 青树
logoilli,11月22日 01:02,电影 岁月神偷 了解一下
魅音小瞳,11月22日 00:58,我也喜欢过我兄弟
